AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,14.2,12.2,11.7,11.5,12.2,9.5,9.9,10.4,13.3
Current_Liabilities,6.5,5.4,5.0,4.4,5.8,4.7,4.4,3.6,4.1
Diluted_EPS,0.111,-0.078,-0.05,-0.008,0.121,-0.082,-0.04,-0.161,0.01
Goodwill_Intangibles,0.3,0.3,0.2,0.2,0.2,0.2,0.2,,
Inventory,3.4,2.9,2.1,1.9,2.8,2.5,1.7,1.6,1.9
LT_Debt,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.4,2.8,3.3,5.9,6.7,3.1,3.1,2.6,3.5
Shares_Diluted,7.8425,7.7528,7.7454,7.745,7.745,7.7353,7.7656,7.8916,8.2478
Total_Assets,19.5,18.3,17.7,17.5,18.9,16.6,16.8,15.2,17.3
Total_Liabilities,9.5,9.1,7.9,7.3,8.6,7.2,6.7,4.6,4.9
