AAII_QTR_DATA,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,97.9,96.8,101.2,156.0,157.7,167.5,168.1,163.3
Current_Liabilities,227.8,225.1,226.7,225.5,39.0,43.2,38.6,33.1
Diluted_EPS,-0.49,-0.615,-1.04,-0.558,-0.747,-0.423,-0.868,-1.185
Goodwill_Intangibles,116.9,120.1,123.4,127.0,130.6,134.3,137.9,141.5
Inventory,33.9,33.7,30.0,30.1,21.9,23.1,21.6,22.3
LT_Debt,59.0,58.9,58.7,107.2,293.6,294.4,300.2,295.5
Revenue,19.6,17.3,18.0,18.4,16.1,20.1,18.1,15.0
Shares_Diluted,10.649,10.644,10.643,10.64,10.637,10.633,10.628,10.6116
Total_Assets,215.9,218.3,226.1,284.6,290.2,302.1,306.4,305.3
Total_Liabilities,289.9,287.5,289.4,337.1,337.4,342.2,342.7,333.1
