AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,20568.0,20872.0,20301.0,19914.0,19922.0,19550.0,17037.0,17400.0,18333.0,19020.0,16420.0,16756.0
Current_Liabilities,19174.0,19020.0,19332.0,19220.0,19019.0,18624.0,16070.0,16736.0,17204.0,17654.0,15301.0,15555.0
Diluted_EPS,1.415,5.638,3.662,0.931,0.723,2.346,4.185,0.577,1.062,2.208,2.864,0.333
Goodwill_Intangibles,13781.0,13864.0,14247.0,14256.0,14453.0,14522.0,14672.0,14748.0,13509.0,13643.0,13783.0,13886.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4012.0,4632.0,4664.0,4641.0,5068.0,5177.0,5323.0,5404.0,4308.0,4543.0,4418.0,4498.0
Revenue,2286.0,2590.0,2764.0,2009.0,2113.0,2466.0,2690.0,1989.0,2048.0,2312.0,2372.0,1859.0
Shares_Diluted,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,132.0
Total_Assets,38267.0,38632.0,38531.0,38037.0,38110.0,37727.0,35426.0,35703.0,35166.0,35893.0,32385.0,33041.0
Total_Liabilities,26597.0,27106.0,27711.0,27522.0,27775.0,27464.0,25177.0,25816.0,25076.0,25801.0,22533.0,22992.0
