AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,578.8,617.2,545.7,408.7,530.0,485.5,439.5,421.4,372.7,172.8,148.2,122.6,,,,
Current_Liabilities,535.8,515.9,507.6,407.9,385.5,348.2,320.8,247.5,237.7,238.5,241.7,196.9,,,,
Diluted_EPS,0.039,0.015,0.125,-0.154,0.049,0.018,0.156,0.031,-0.302,0.0,-0.024,,,-0.105,-0.001,
Goodwill_Intangibles,2127.2,1987.9,2006.1,2022.7,1377.9,1354.2,1365.8,1306.8,1317.0,1327.2,1337.4,1321.6,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1234.3,1233.6,1232.9,1232.2,739.2,738.7,744.9,744.3,743.7,1230.1,1194.6,1195.6,1205.3,1206.2,0.0,634.3
Revenue,267.1,241.7,222.3,197.6,174.0,153.3,139.7,123.4,110.9,102.2,90.3,,,54.6,40.8,
Shares_Diluted,403.2217,403.1385,1156.334,263.2858,190.6054,178.8038,163.4868,155.7851,150.1,382.5909,382.5909,382.5909,382.5909,382.5909,382.5909,382.5909
Total_Assets,7008.5,6924.2,6852.9,6608.1,2823.3,2547.0,2327.4,2048.5,1919.3,1577.9,1561.9,1506.2,1508.0,1542.2,591.0,582.2
Total_Liabilities,4884.6,4864.8,4855.0,4823.1,2207.0,1992.7,1824.6,1674.9,1586.2,1597.8,1575.5,1519.7,1508.5,1503.6,710.1,704.4
