AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Current_Liabilities,2.9,1.4,0.5,0.8,1.0,0.8,0.8,0.7,0.6
Diluted_EPS,0.012,-0.202,-0.008,0.0,-0.002,-0.001,-0.002,-0.047,-0.008
Goodwill_Intangibles,10.7,7.8,,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,,,,,,,
LT_Debt,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.7,0.1,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,83.5145,75.1081,73.1013,109.0703,108.6928,107.3591,106.2389,94.4366,48.6083
Total_Assets,11.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Total_Liabilities,11.4,13.7,0.5,0.8,1.0,0.8,0.8,0.7,0.6
