AAII_YR_DATA,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.0,0.2,0.0,0.0,0.0,0.0,
Cash_from_Operations,-1.3,-1.2,-0.4,-0.5,-0.7,-0.5,0.0
Diluted_EPS,-0.342,-3.411,-1.779,-2.586,-6.285,-19.232,-2.216
Goodwill_Intangibles,,,,0.0,0.2,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Net_Income,-1.4,-9.2,-3.0,-2.1,-2.0,-4.4,-0.5
Revenue,,0.1,0.0,0.0,0.0,0.1,0.1
Shares_Diluted,4.1249,2.6833,1.6739,0.8183,0.3201,0.2299,0.2087
Total_Assets,0.6,0.9,0.2,0.1,1.5,0.5,0.0
Total_Liabilities,3.5,7.1,2.8,1.0,1.7,1.3,0.3
