AAII_YR_DATA,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013
Capital_Expenditures,,,,0.0,0.0,0.0,0.0
Cash_from_Operations,-0.1,-0.1,-0.1,0.0,-0.2,-0.2,0.0
Diluted_EPS,-0.064,-38.754,-0.633,-0.491,-0.294,-0.38,-0.092
Goodwill_Intangibles,,,,0.0,0.0,0.0,
LT_Debt,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Net_Income,-0.1,-42.8,-0.4,-0.3,-0.2,-0.2,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,2.057,1.1041,0.6017,0.602,0.596,0.549,0.5219
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Total_Liabilities,0.1,0.1,0.1,0.0,0.0,0.0,0.0
