AAII_YR_DATA,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,0.0,0.0,0.0,,,,
Cash_from_Operations,0.0,-0.3,-0.1,0.0,0.0,0.0,0.0
Diluted_EPS,-0.001,-0.028,-0.03,-0.007,-0.003,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-0.1,-0.2,-0.3,0.0,0.0,0.0,0.0
Revenue,,0.0,0.1,0.0,0.0,0.0,0.0
Shares_Diluted,94.1294,8.7495,9.012,6.7952,5.25,7.25,7.25
Total_Assets,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.2,0.4,0.1,0.0,0.0,0.0,0.0
