AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,301.4,270.0,224.0,167.5,261.7,663.6,681.3,664.4,777.4
Cash_from_Operations,632.2,1273.7,24.1,536.9,1014.2,1351.2,1182.7,816.9,1623.6
Diluted_EPS,1.558,1.144,0.879,10.233,1.289,1.511,1.539,1.058,1.3019999999999998
Goodwill_Intangibles,3862.0,3719.7,3794.0,3619.2,3567.9,4618.7,4349.7,4680.1,4559.1
LT_Debt,2086.9,2900.2,2137.2,1882.9,2407.2,2767.2,2261.7,2855.3,3111.8
Net_Income,867.6,659.4,564.1,6985.1,870.8,1015.2,1024.6,616.9,845.1
Revenue,10033.9,8927.6,9708.4,9687.4,10060.0,9873.7,15551.6,16153.2,17029.4
Shares_Diluted,557.0276,576.3112,641.5372,682.5941,675.4061,671.9683,665.7985,583.3303,648.8327
Total_Assets,14524.9,13791.2,13589.2,19659.5,16932.1,16950.9,16707.0,18416.4,18748.7
Total_Liabilities,8847.0,7777.4,6943.2,7273.9,10793.7,10092.5,9920.8,11874.2,12219.4
