AAII_YR_DATA,09/30/2022,10/01/2021,10/02/2020,09/27/2019,09/28/2018,09/29/2017,09/30/2016,10/02/2015,10/03/2014,09/27/2013
Capital_Expenditures,388.4,407.8,418.5,503.1,628.6,552.7,512.5,524.4,545.2,392.9
Cash_from_Operations,694.5,657.1,176.7,984.2,1047.4,1053.4,867.3,802.2,398.2,695.9
Diluted_EPS,0.751,-0.357,-1.833,1.78,2.241,1.486,1.157,0.957,0.627,0.331
Goodwill_Intangibles,7628.9,7515.9,7276.5,7552.4,7747.4,5836.3,5740.8,5670.9,5842.4,6028.8
LT_Debt,7345.9,7393.4,9178.5,6612.2,7213.1,5190.3,5223.5,5184.6,5355.8,5758.2
Net_Income,194.5,-90.8,-461.5,448.5,567.9,373.9,287.8,235.9,149.0,69.4
Revenue,16326.6,12096.0,12829.6,16227.3,15789.6,14604.4,14415.8,14329.1,14832.9,13945.7
Shares_Diluted,259.074,254.748,251.828,252.01,253.352,251.557,248.763,246.616,237.451,209.37
Total_Assets,15082.4,14376.2,15712.7,13736.3,13720.1,11006.2,10582.1,10196.4,10455.7,10267.1
Total_Liabilities,12052.8,11653.3,12976.7,10416.3,10690.5,8547.2,8421.1,8313.0,8737.7,9363.4
