AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1222.0,980.0,1303.0,1834.0,1722.0,1739.0,2613.0,2450.0,2236.0,2098.0
Cash_from_Operations,3512.0,-3416.0,-18410.0,-2446.0,15322.0,13346.0,10496.0,9363.0,8858.0,8179.0
Diluted_EPS,-8.296,-7.151,-20.881,-1.124,17.853,13.856,7.827,7.442,7.383999999999999,5.964
Goodwill_Intangibles,9419.0,9655.0,10195.0,11398.0,11269.0,10705.0,7864.0,7783.0,7988.0,11147.0
LT_Debt,51811.0,56806.0,61890.0,19962.0,10657.0,9782.0,9568.0,8730.0,8141.0,8072.0
Net_Income,-4935.0,-4202.0,-11873.0,-636.0,10453.0,8452.0,5031.0,5172.0,5440.0,4578.0
Revenue,66608.0,62286.0,58656.0,84818.0,101127.0,94005.0,93496.0,96114.0,90762.0,86623.0
Shares_Diluted,594.9,587.6,568.6,566.0,585.5,610.0,642.8,695.0,736.7,767.6
Total_Assets,137100.0,138552.0,152136.0,133625.0,117359.0,112362.0,89997.0,94408.0,92921.0,92663.0
Total_Liabilities,152983.0,153551.0,170452.0,142242.0,117020.0,110706.0,89180.0,88073.0,84256.0,77788.0
