AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,884.7,983.3,644.3,549.7,274.2
Cash_from_Operations,244.5,834.7,694.3,940.1,-167.5
Diluted_EPS,16.866,0.665,-3.031,-2.365,-0.887
Goodwill_Intangibles,21893.5,8701.2,9044.3,9260.4,
LT_Debt,17452.4,7555.8,7449.1,7380.2,0.0
Net_Income,1230.5,48.6,-221.5,-172.9,-64.8
Revenue,14314.7,13032.9,12974.8,13376.0,9395.5
Shares_Diluted,72.9556,73.0885,73.0885,73.0885,73.0885
Total_Assets,36976.8,21503.1,22498.6,22531.0,
Total_Liabilities,36491.9,22200.1,20841.3,20644.1,
