AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,44.2,19.6,63.8,190.5,99.6,88.6,210.6,150.8,184.1
Cash_from_Operations,1220.2,864.2,635.7,824.3,318.6,308.5,217.9,-49.7,-67.1
Diluted_EPS,4.524,2.06,3.133,2.996,5.583,2.094,2.35,1.951,2.013
Goodwill_Intangibles,77.6,77.6,77.7,77.7,77.8,78.0,78.3,68.4,69.1
LT_Debt,721.4,722.5,429.3,402.7,402.8,402.8,402.5,10.6,1.9
Net_Income,409.0,189.0,299.7,311.8,591.0,217.0,241.9,196.2,199.6
Revenue,959.4,1067.6,1281.9,1449.1,1204.5,1059.2,880.8,783.7,738.8
Shares_Diluted,90.4003,91.7309,95.6569,104.0774,105.8575,103.6562,102.9722,100.5958,99.7516
Total_Assets,35815.4,35010.5,32871.3,32164.3,30347.0,27880.2,23883.5,19210.5,15046.6
Total_Liabilities,32777.6,32027.5,29890.5,29240.5,27320.9,25461.7,21639.6,17158.0,13118.0
