AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,,57.6,1.5,3.8,35.6,72.9,26.9,10.2,15.5
Cash_from_Operations,,-34.3,-68.1,-163.0,-150.2,-197.0,-114.3,42.4,250.6
Diluted_EPS,-19.474,-9.724,-7.537,-22.031,-107.821,-77.661,-48.922,-8.4,4.388999999999999
Goodwill_Intangibles,3.3,98.5,2.6,4.5,344.7,551.5,222.0,265.0,3.4
LT_Debt,0.0,0.0,0.5,3.0,4.2,27.8,44.5,46.9,44.2
Net_Income,-169.6,-60.5,-34.5,-94.4,-451.7,-317.1,-203.0,-323.9,157.0
Revenue,650.2,1328.9,2.2,5.2,126.1,71.9,5.3,99.6,579.7
Shares_Diluted,8.7104,6.2234,4.3001,4.2859,4.1891,4.0831,4.1487,38.559,35.7849
Total_Assets,74.5,296.1,72.1,695.8,1246.6,1754.6,2076.9,2084.5,1319.7
Total_Liabilities,33.7,114.3,10.3,111.3,130.0,344.8,367.4,316.6,202.1
