AAII_YR_DATA,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,212.1,340.1,130.1,166.8,88.2,107.9,117.5
Cash_from_Operations,407.9,396.9,301.8,347.5,258.8,201.0,206.5
Diluted_EPS,0.871,0.922,0.961,0.698,0.634,0.568,0.543
Goodwill_Intangibles,1539.1,1517.7,790.0,706.5,695.4,632.2,651.6
LT_Debt,2324.5,1544.8,904.6,900.7,863.3,916.3,836.6
Net_Income,233.0,247.0,258.9,188.2,170.7,151.0,142.2
Revenue,2711.6,2472.8,2113.1,2024.0,1880.4,1681.1,1555.1
Shares_Diluted,267.5955,267.9742,269.4548,269.5973,269.1964,266.0056,261.9195
Total_Assets,6349.0,5362.6,4325.8,4007.5,3739.5,3485.2,3170.7
Total_Liabilities,4485.8,3617.9,2657.6,2495.1,2326.0,2261.4,2091.8
