AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,347.0,346.1,503.2,522.1,481.3,456.4,609.6,626.0,368.6
Cash_from_Operations,2105.1,1481.7,1893.3,1795.9,1613.9,1237.0,916.8,920.9,981.0
Diluted_EPS,2.137,1.086,2.311,1.852,1.399,1.418,2.171,2.17,2.877
Goodwill_Intangibles,17165.3,10869.8,10964.3,10840.9,10842.9,10710.7,9900.2,11296.8,4861.5
LT_Debt,11724.0,6346.3,5590.5,5098.3,5443.3,5530.9,3104.5,3085.8,4388.1
Net_Income,976.5,495.2,1083.9,903.9,684.1,545.9,510.1,546.9,785.5
Revenue,13685.9,10546.6,11949.7,11453.5,11000.1,9081.9,6293.6,7024.7,9671.3
Shares_Diluted,457.0,456.0,469.0,488.0,489.0,385.0,235.0,252.0,273.0
Total_Assets,28927.1,19129.3,18580.4,18114.0,18092.1,18464.0,6956.8,7963.6,11217.6
Total_Liabilities,21933.5,13138.0,12458.8,11586.7,11444.5,12039.2,6090.7,6622.4,8532.4
