AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.3,0.3,0.2,1.0,1.0,2.2,0.9,0.7,0.3,0.3
Cash_from_Operations,9.7,14.6,7.4,11.2,9.3,9.8,7.6,8.2,17.8,8.7
Diluted_EPS,4.578,4.528,4.467,4.223,3.769,3.426,3.349,3.197,3.145,3.1260000000000003
Goodwill_Intangibles,7.9,7.9,7.9,7.9,7.9,8.0,8.1,8.2,8.5,8.8
LT_Debt,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,2.1
Net_Income,9.5,9.4,9.3,8.9,8.0,7.3,7.2,6.9,6.8,6.8
Revenue,26.4,24.3,25.0,26.5,24.8,22.7,21.1,20.6,20.4,20.7
Shares_Diluted,2.0782,2.077,2.0892,2.1143,2.1291,2.1325,2.1389,2.1606,2.1733,2.1811
Total_Assets,944.0,952.7,855.1,742.7,726.2,709.5,673.6,647.3,639.1,624.0
Total_Liabilities,858.1,848.4,749.4,642.7,633.0,619.8,587.4,564.2,559.1,548.2
