AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,0.2,0.5,0.1,0.1,0.1,0.3,0.0,0.4,1.6,32.4
Cash_from_Operations,-19.9,-12.9,-66.2,-71.4,28.1,21.7,34.4,67.5,16.6,32.1
Diluted_EPS,-10.522,-17.487,-24.334,3.42,-2.153,7.924,8.077,11.104,9.75,19.344
Goodwill_Intangibles,14.9,16.4,22.8,25.8,28.5,30.1,55.7,29.1,30.4,31.8
LT_Debt,0.0,0.0,0.0,7.5,7.4,8.4,6.7,0.0,0.0,0.0
Net_Income,-98.4,-119.7,-136.8,11.6,-6.9,25.2,24.7,31.4,25.5,44.8
Revenue,168.5,181.3,229.4,294.3,287.1,277.8,268.8,263.4,233.4,216.9
Shares_Diluted,9.3481,6.8477,5.6198,3.3885,3.2192,3.1743,3.0585,2.8319,2.6168,2.3146
Total_Assets,195.1,266.7,342.1,481.0,483.0,455.7,416.5,429.6,393.1,348.7
Total_Liabilities,60.3,79.2,79.3,84.4,90.4,58.2,46.0,56.6,61.1,51.9
