AAII_YR_DATA,01/29/2023,01/30/2022,01/31/2021,02/02/2020,02/03/2019,01/28/2018,01/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,230.3,183.2,130.7,48.6,44.2,40.3,2.0,22.3,,
Cash_from_Operations,349.6,191.7,132.8,46.6,-13.4,-79.7,-9.4,7.3,,
Diluted_EPS,0.115,-0.177,-0.227,-0.634,-0.672,-1.755,-0.262,-0.835,,
Goodwill_Intangibles,39.4,,,,,,,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,49.2,-73.8,-92.5,-252.4,-267.9,-699.6,-104.3,-332.8,,
Revenue,10098.9,8890.8,7146.3,4846.7,3532.8,2104.3,119.8,900.6,422.8,203.9
Shares_Diluted,427.77,417.218,407.24,398.256,398.6,398.6,398.6,398.6,,
Total_Assets,2515.1,2086.3,1740.9,932.3,541.6,503.2,,,,
Total_Liabilities,2301.1,2071.5,1742.9,1336.3,877.6,586.9,246.0,82.8,,
