AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,55.9,42.0,36.6,12.0,13.1,22.2,12.8,16.0,40.4
Cash_from_Operations,567.2,266.9,90.0,114.2,98.3,39.8,9.7,-11.7,83.5
Diluted_EPS,11.389,4.564,1.665,-1.012,-0.073,-0.433,-1.296,-0.223,0.11699999999999999
Goodwill_Intangibles,30.4,39.4,48.7,47.3,58.1,74.2,84.3,99.4,74.8
LT_Debt,771.4,180.0,205.0,120.0,0.0,0.0,1.6,6.4,11.7
Net_Income,725.7,312.9,119.5,-69.2,-5.3,-31.7,-98.0,-19.0,10.4
Revenue,2313.4,1386.0,1230.6,1088.2,1023.5,1036.3,1090.6,1198.2,1192.7
Shares_Diluted,63.718,68.544,71.771,68.421,72.255,73.371,75.604,85.14,89.0895
Total_Assets,1545.1,1118.7,738.8,468.9,543.7,566.4,608.0,806.9,875.2
Total_Liabilities,1531.0,828.1,606.9,318.6,175.4,167.1,186.4,181.7,250.4
