AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1596.2,1575.1,1318.7,1435.2,1215.5,1185.5,1292.0,1122.2,1147.6,984.4
Cash_from_Operations,15340.2,41001.2,-6694.4,-20450.6,14300.1,-9481.6,29720.3,15344.2,-19647.9,22944.6
Diluted_EPS,-2.829,-0.705,1.11,1.314,0.808,-0.428,-1.296,-1.703,1.129,1.289
Goodwill_Intangibles,3730.7,3544.2,5175.9,5498.9,5533.4,5511.2,5689.9,5095.7,9664.2,8949.1
LT_Debt,143280.0,155858.0,151075.0,142201.0,141899.0,154595.0,178539.0,201230.0,193325.0,141767.0
Net_Income,-8095.2,-1831.5,2962.6,3795.1,2246.6,-1091.1,-3011.4,-3012.2,1893.1,2036.4
Revenue,13598.6,10720.4,15450.1,22404.2,21770.4,18933.3,19285.1,19695.5,20714.0,21319.2
Shares_Diluted,2862.0,2599.44,2669.061,2887.197,2779.573,2550.107,2324.295,1768.333,1676.457,1579.845
Total_Assets,589807.0,838975.0,894462.0,873898.0,853497.0,883881.0,910046.0,835850.0,1001370.0,951498.0
Total_Liabilities,539714.0,790186.0,847091.0,825453.0,804743.0,837370.0,863540.0,790655.0,953600.0,905533.0
