AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,114.7,84.5,98.7,66.1,50.9,53.0,49.5
Cash_from_Operations,1384.3,1048.8,869.6,725.7,739.1,583.0,591.6
Diluted_EPS,2.729,2.549,2.347,2.028,1.829,1.332,1.611
Goodwill_Intangibles,10407.9,3807.8,3490.1,3415.8,3136.4,6280.3,1787.8
LT_Debt,6080.6,758.7,1167.2,1167.2,1167.2,408.5,420.2
Net_Income,718.2,664.6,606.3,522.0,469.4,339.9,411.2
Revenue,4690.0,4058.8,3767.7,3566.5,3314.2,2677.9,2411.6
Shares_Diluted,263.1989,260.7525,258.302,257.3993,256.5924,255.2861,255.1917
Total_Assets,16192.1,9307.3,8205.2,8103.9,7366.7,5792.1,4888.1
Total_Liabilities,10112.6,3982.5,3543.2,3598.3,3318.2,2356.5,1841.1
