AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015
Capital_Expenditures,17.3,6.7,9.3,9.2,6.8,8.0,3.4,
Cash_from_Operations,149.8,108.8,47.0,43.9,42.2,18.3,13.5,
Diluted_EPS,1.777,0.945,0.443,0.541,0.467,0.396,0.393,0.297
Goodwill_Intangibles,250.8,234.1,159.9,81.5,89.2,40.0,28.0,
LT_Debt,54.6,62.2,52.4,0.0,0.0,0.1,0.0,0.0
Net_Income,103.1,53.9,24.8,29.8,23.5,20.9,20.7,15.6
Revenue,812.6,553.9,435.5,357.3,270.1,197.8,143.3,97.1
Shares_Diluted,58.0182,57.0506,56.0651,55.0262,50.4262,52.6941,52.6941,52.6941
Total_Assets,771.7,582.1,442.8,276.3,187.4,132.0,90.5,65.8
Total_Liabilities,234.7,214.2,154.8,69.9,101.2,71.6,53.5,35.8
