AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2727.3,1185.6,413.3,581.1,393.9,431.8,614.1,735.0,1001.9,1253.5
Cash_from_Operations,3092.1,4031.3,3311.8,2662.4,2517.8,2779.5,2854.2,2459.1,2378.1,2295.7
Diluted_EPS,3.614,3.79,3.016,2.602,2.984,4.057,3.138,1.72,2.033,1.7519999999999998
Goodwill_Intangibles,37498.2,29307.3,27664.1,25789.6,24754.4,23725.8,16498.7,15667.6,4985.0,3332.5
LT_Debt,19801.9,19355.2,13616.4,12968.2,13810.8,15134.4,15541.7,12221.9,13746.1,12596.8
Net_Income,2303.2,2410.6,1762.7,1399.5,1575.1,2098.7,1497.9,802.4,944.7,807.5
Revenue,16679.4,17881.1,15493.4,12807.7,13621.3,14391.4,15212.3,15225.5,14643.4,13904.9
Shares_Diluted,637.29,636.063,584.36,537.964,527.9332,524.6842,486.0967,466.5539,464.7768,461.0008
Total_Assets,52606.6,48001.7,38239.9,33230.9,30587.0,29773.8,27914.3,22886.7,22045.5,20356.4
Total_Liabilities,34664.0,32475.1,24459.8,21666.4,21991.3,22836.4,23300.7,20137.9,20032.5,19379.3
