AAII_YR_DATA,10/02/2021,10/03/2020,09/28/2019,09/29/2018,09/30/2017,10/01/2016,10/03/2015,09/27/2014,09/28/2013
Capital_Expenditures,3578.0,4022.0,4876.0,4465.0,3623.0,4773.0,4265.0,3311.0,2796.0
Cash_from_Operations,5567.0,7618.0,6606.0,14295.0,12343.0,13136.0,11385.0,9780.0,9452.0
Diluted_EPS,1.091,-1.584,6.635,8.36,5.691,5.73,4.905,4.263999999999999,3.384
Goodwill_Intangibles,124735.0,121884.0,126318.0,45969.0,45902.0,41098.0,41181.0,40640.0,39477.0
LT_Debt,48786.0,53188.0,38129.0,17084.0,19119.0,16483.0,12773.0,12676.0,13050.0
Net_Income,1995.0,-2864.0,11054.0,12598.0,8980.0,9391.0,8382.0,7501.0,6136.0
Revenue,67418.0,65388.0,69607.0,59434.0,55137.0,55632.0,52465.0,48813.0,45041.0
Shares_Diluted,1828.0,1808.0,1666.0,1507.0,1578.0,1639.0,1709.0,1759.0,1759.0
Total_Assets,203609.0,201549.0,193984.0,98598.0,95789.0,92033.0,88182.0,84186.0,81241.0
Total_Liabilities,115056.0,117966.0,105107.0,49825.0,54474.0,48768.0,43657.0,39228.0,35812.0
