AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.1,0.0,0.0,0.3,0.1,0.1,0.1
Cash_from_Operations,-5.1,-8.9,-14.0,-25.7,-31.2,-30.5,-20.5,-15.3
Diluted_EPS,-1.442,-2.417,-15.328,-118.303,-189.354,-194.973,-139.215,-127.09
Goodwill_Intangibles,9.7,7.2,3.7,1.7,1.6,1.6,1.6,1.6
LT_Debt,0.6,0.0,0.0,5.9,10.8,0.0,0.0,0.0
Net_Income,,-7.0,-12.2,-25.9,-32.5,-31.5,-19.3,-16.4
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,2.9091,0.795,0.2187,0.1716,0.1615,0.1385,0.1287,0.1287
Total_Assets,22.0,9.8,10.5,18.9,37.8,56.0,63.1,28.6
Total_Liabilities,4.3,3.4,6.6,21.2,22.8,8.6,6.6,18.8
