AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,183.6,445.1,199.9,132.4,88.3,153.9,89.1,132.6,155.6
Cash_from_Operations,519.5,490.9,195.4,250.4,314.8,244.9,153.5,107.2,252.7
Diluted_EPS,1.647,0.903,0.858,0.638,0.333,0.718,0.604,1.026,0.865
Goodwill_Intangibles,165.4,255.0,73.7,152.2,86.1,94.4,79.4,84.8,93.9
LT_Debt,395.5,463.1,209.3,225.8,238.0,235.2,297.1,494.4,521.5
Net_Income,311.0,172.8,166.5,130.2,68.0,146.8,123.0,208.4,180.1
Revenue,4300.9,3725.3,3724.9,3630.4,2723.6,3394.6,3466.9,4267.1,4257.8
Shares_Diluted,188.78,191.334,194.119,204.0562,204.2896,204.3092,203.68,203.235,209.1374
Total_Assets,5131.7,4597.2,4244.1,4218.0,4370.1,4195.7,4132.1,5042.3,5031.7
Total_Liabilities,2904.9,2532.6,2213.5,2215.9,2380.0,2251.2,2406.9,2922.5,3049.6
