AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.4,0.2,0.1,0.0,0.1,0.1,0.3,0.0,0.3
Cash_from_Operations,-7.4,-6.4,-0.2,-2.0,-1.8,-2.7,-8.2,-6.9,-7.8,-7.0
Diluted_EPS,-0.031,-0.026,-0.029,-0.016,-0.008,-0.015,-0.037,-0.039,-0.048,-0.067
Goodwill_Intangibles,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.3,0.3,0.3
LT_Debt,4.8,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-8.3,-6.5,-6.7,-3.6,-1.8,-3.0,-7.5,-7.2,-7.4,-8.7
Revenue,1.2,1.5,1.6,2.1,2.8,2.7,2.6,2.3,2.3,2.0
Shares_Diluted,269.8434,252.4645,232.5025,225.7312,220.1727,207.3292,204.6793,188.0646,154.541,128.2651
Total_Assets,8.9,8.6,6.0,3.0,5.2,2.6,5.3,6.4,9.3,7.2
Total_Liabilities,10.7,5.5,6.5,1.3,0.4,0.5,0.8,2.3,2.4,2.9
