AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,107.7,68.0,45.5,109.3,299.5,242.5,258.4,143.6,158.4,77.9
Cash_from_Operations,785.0,681.3,792.7,592.4,356.2,199.0,297.1,252.0,193.3,248.1
Diluted_EPS,0.082,0.364,0.287,0.146,0.103,0.076,0.061,0.083,0.078,0.727
Goodwill_Intangibles,2067.4,1853.7,1393.9,1273.8,1212.8,1298.0,1299.4,1172.4,385.1,385.1
LT_Debt,2220.3,1864.1,1497.4,2054.8,1663.0,1491.3,1254.2,1245.5,842.2,652.4
Net_Income,223.7,996.2,785.3,400.3,283.0,207.9,166.6,227.6,213.6,198.9
Revenue,4410.8,4824.4,3748.1,3192.1,3004.1,2821.0,2635.4,2851.4,2465.1,1702.8
Shares_Diluted,2736.554,2736.554,2736.554,2736.554,2736.554,2736.554,2736.554,2736.554,2736.554,273.6554
Total_Assets,9997.9,9964.5,9410.7,7706.6,7227.3,6670.6,6096.5,5522.6,4537.2,4286.9
Total_Liabilities,5810.5,5572.0,5396.0,4236.2,4002.3,3611.6,3132.8,2804.8,2176.2,1940.2
