AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3440.5,5788.1,4001.6,4066.1,5038.9,6135.4,3796.6,5530.0,8216.7,6304.6
Cash_from_Operations,8314.2,6852.8,7241.5,6957.9,7775.3,4929.3,3853.6,3475.5,2004.2,2557.8
Diluted_EPS,0.945,2.126,1.093,1.951,1.078,1.222,1.432,-0.033,1.073,0.418
Goodwill_Intangibles,26992.0,27232.7,25740.8,50699.1,27268.2,27929.3,2386.9,2110.7,1287.5,1109.3
LT_Debt,54030.0,50340.0,46581.2,44228.4,44663.7,45062.0,27018.7,29950.6,26095.3,17116.1
Net_Income,1916.8,4305.9,2208.5,3940.2,1862.0,1872.4,1314.9,-28.1,901.0,341.4
Revenue,39467.9,34849.5,28938.5,37069.1,34336.4,32855.7,25586.8,25694.9,29388.6,25201.4
Shares_Diluted,2029.0,2025.0,2021.0,2020.0,1727.0,1532.0,918.0,847.0,840.0,817.0
Total_Assets,132975.0,125020.0,118662.0,120795.0,123570.0,120007.0,63085.3,64260.1,56883.8,44072.9
Total_Liabilities,88636.6,79987.0,73228.3,71899.3,72137.0,76966.3,47252.0,49891.2,43778.0,33740.6
