AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,70.0,101.4,70.4,69.8,50.1,55.9,63.6,63.6,62.0
Cash_from_Operations,358.4,253.4,197.9,211.0,246.0,307.6,194.5,194.5,193.6
Diluted_EPS,3.364,3.317,3.196,3.726,2.774,3.64,2.994,3.771,3.019
Goodwill_Intangibles,1096.8,1136.5,1119.6,1118.7,499.9,482.6,513.2,686.0,598.5
LT_Debt,1243.2,970.1,1105.1,971.9,579.6,587.7,606.4,493.3,288.1
Net_Income,143.9,143.4,137.1,160.2,119.6,160.2,136.2,181.2,150.3
Revenue,3357.3,2977.9,3087.9,2808.0,2581.9,2367.1,2316.2,2505.5,2474.4
Shares_Diluted,42.7834,43.2244,42.8968,43.009,43.1199,44.0125,45.4741,48.0527,49.7882
Total_Assets,3736.6,3462.8,3301.7,3118.2,2486.9,2293.0,2214.5,2136.6,2321.9
Total_Liabilities,2247.3,1923.0,2001.2,1835.9,1291.3,1189.6,1201.4,1097.7,1075.5
