AAII_YR_DATA,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,46.7,53.8,21.4,28.2,27.7,23.3,12.7
Cash_from_Operations,97.2,78.3,70.8,61.1,67.4,62.7,52.2
Diluted_EPS,-0.221,0.226,0.237,-0.876,-0.518,-0.917,-0.519
Goodwill_Intangibles,359.8,374.4,361.8,336.9,367.0,400.6,372.5
LT_Debt,180.0,110.0,150.0,0.0,169.9,159.8,148.8
Net_Income,-9.2,9.4,9.3,-33.1,-19.6,-34.7,-19.1
Revenue,442.2,422.0,394.1,349.4,343.3,330.9,300.6
Shares_Diluted,41.77,41.691,39.326,37.842,37.957,37.806,36.834
Total_Assets,793.1,669.2,636.0,617.4,651.2,688.5,700.3
Total_Liabilities,400.8,289.9,325.0,355.5,356.4,339.9,312.9
