AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,141.2,110.6,105.3,227.3,113.7,153.4,272.0,217.7,50.2,77.7
Cash_from_Operations,772.6,573.9,-1310.0,754.2,807.2,502.3,-62.2,693.1,85.4,100.3
Diluted_EPS,-1.044,-0.301,-3.952,-1.44,-0.733,0.931,0.64,0.251,0.322,0.331
Goodwill_Intangibles,2357.8,2484.6,2169.6,724.9,1480.0,1252.6,1091.3,1046.9,223.3,196.9
LT_Debt,3100.0,3934.4,4312.8,88.9,2703.3,2534.9,2130.3,2466.6,497.3,444.5
Net_Income,-191.8,-55.3,-727.4,-354.7,-134.6,171.1,117.8,46.1,59.3,60.7
Revenue,4716.7,4560.0,3950.9,4385.5,1586.7,3776.8,4311.8,3873.2,1113.8,1107.1
Shares_Diluted,183.6583,183.6825,184.041,183.9625,183.5163,183.7023,183.8928,183.3923,184.3658,183.449
Total_Assets,10644.5,11399.2,11000.0,8571.9,8802.1,7967.9,7647.1,8693.3,1843.9,1801.0
Total_Liabilities,7949.8,8404.7,8071.2,5719.8,5804.7,5263.6,5123.9,5905.8,1177.1,1173.5
