AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-0.6,-0.5,-0.6,-0.6,-0.5,-0.4,-0.5,-0.5,-0.4,-0.8
Diluted_EPS,-0.033,-0.033,-0.031,-0.033,-0.026,-0.03,-0.077,-0.044,-0.051,-0.07
Goodwill_Intangibles,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2
LT_Debt,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Net_Income,-1.2,-1.2,-1.1,-1.2,-0.9,-0.9,-2.4,-1.3,-1.3,-1.7
Revenue,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3
Shares_Diluted,36.3807,36.3807,36.3807,36.3807,35.9511,30.833,30.6282,28.6723,25.2423,24.4138
Total_Assets,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.5
Total_Liabilities,12.1,10.9,10.0,8.8,7.6,7.9,7.1,6.0,6.0,5.0
