AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.0,,0.0,0.2,0.1,0.0,0.7,0.1
Cash_from_Operations,-3.1,-2.9,-2.0,-2.5,-1.0,-4.0,-13.8,-12.9,-16.2
Diluted_EPS,-0.062,-0.054,-0.045,-0.043,-0.04,-0.287,-0.041,-0.07,-0.076
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,15.0,13.9,13.0,12.2,11.3,10.6,9.9,9.0,8.1
Net_Income,-12.2,-10.2,-8.1,-7.5,-7.0,-49.5,-6.3,-10.3,-11.1
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,197.118,188.658,178.612,174.907,174.344,172.259,151.925,147.037,146.8837
Total_Assets,10.1,10.5,10.8,8.2,10.0,11.2,72.0,81.1,102.1
Total_Liabilities,87.8,84.9,78.6,71.7,63.7,44.2,45.6,53.5,59.1
