AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.1,0.0,0.2,0.1,0.1,0.3,0.8,0.8,1.5
Cash_from_Operations,-1.2,-0.9,0.7,-1.9,-1.5,-2.6,-9.4,-6.3,0.5,-11.1
Diluted_EPS,-0.471,-0.228,-0.094,-0.559,-4.785,0.382,-30.071,-7.987,-18.27,-23.503
Goodwill_Intangibles,4.2,4.2,4.3,4.2,4.5,4.6,4.9,5.5,5.9,6.1
LT_Debt,2.2,2.2,0.8,2.9,3.1,0.0,0.0,0.0,0.0,0.0
Net_Income,-3.3,-1.5,-0.6,-3.3,-4.5,0.2,-13.0,-3.3,-8.5,-11.3
Revenue,10.1,13.9,14.8,16.5,17.8,25.2,30.3,48.6,46.3,58.6
Shares_Diluted,7.1009,6.5153,5.9205,5.9006,0.9333,0.47,0.4309,0.4109,0.4627,0.4798
Total_Assets,10.2,12.7,13.4,15.8,16.0,13.2,17.3,30.4,42.3,53.2
Total_Liabilities,10.6,11.5,15.1,18.5,17.0,25.4,30.0,34.3,45.6,40.3
