AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
Capital_Expenditures,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-0.8,-0.5,0.0,-0.1,-0.2,-0.1,-0.1,-0.1
Diluted_EPS,-0.011,-0.259,-0.189,-0.227,-1.162,-0.039,-5.608,-3.262
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Net_Income,-0.2,-4.4,-0.2,-0.1,-0.4,0.0,-1.0,-0.4
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Shares_Diluted,19.8857,17.135,1.0198,0.4931,0.3648,0.2767,0.17,0.1167
Total_Assets,1.5,0.0,0.0,0.0,0.0,0.1,0.0,0.4
Total_Liabilities,1.8,0.2,0.0,0.0,0.0,0.0,0.2,0.4
