AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-0.2,-0.2,-0.3,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4
Diluted_EPS,0.0,0.0,0.0,-0.001,-0.001,0.004,-0.001,0.001,-0.001,-0.001
Goodwill_Intangibles,,,,0.0,0.0,0.0,0.0,0.0,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-0.2,-0.2,-0.2,-0.2,-0.2,1.8,-0.2,0.3,-0.3,-0.4
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,861.0824,861.0824,598.0689,409.1438,409.1438,409.1438,411.2749,439.1438,439.1438,439.1438
Total_Assets,2.3,2.2,2.4,1.8,1.9,2.1,0.3,0.6,0.2,0.5
Total_Liabilities,0.3,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0
