AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,2.4,1.7,11.9,7.9,3.9,4.2,6.3,5.5,4.4
Cash_from_Operations,,-20.2,-14.6,-46.8,-10.9,24.5,28.9,32.0,42.9,52.5
Diluted_EPS,-1.281,-14.418,4.444,8.504,-4.441,2.59,5.702,5.283,0.537,0.542
Goodwill_Intangibles,4.1,3.2,1.8,19.2,61.8,1.0,2.7,1.8,2.3,1.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-15.5,-29.2,53.9,103.2,-8.6,5.3,11.4,10.7,41.3,42.2
Revenue,111.4,146.0,171.3,217.0,195.1,223.2,204.8,233.0,256.9,214.9
Shares_Diluted,12.1318,2.022,12.1318,12.1307,2.0177,2.0502,2.0036,2.0167,76.8275,77.8026
Total_Assets,287.8,341.0,393.0,754.8,656.3,510.1,449.1,371.7,364.9,310.2
Total_Liabilities,100.8,138.7,161.1,282.6,219.8,154.7,142.1,110.3,95.7,73.2
