AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.5,3.4,4.7,4.5,10.1,2.0
Cash_from_Operations,0.1,12.5,14.9,14.4,12.8,7.5
Diluted_EPS,0.179,0.261,0.487,0.191,-0.831,0.231
Goodwill_Intangibles,5.2,28.1,12.6,12.9,13.1,
LT_Debt,3.5,6.3,4.1,1.1,0.0,0.0
Net_Income,5.3,7.5,11.5,4.5,-24.0,6.7
Revenue,48.5,47.8,43.4,37.4,36.0,29.3
Shares_Diluted,29.5629,28.5917,23.4962,23.4962,28.9462,28.9462
Total_Assets,101.0,116.3,90.3,73.0,60.8,
Total_Liabilities,68.3,83.6,103.9,63.1,55.3,
