AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,8.4,9.4,4.3,3.6,2.8,7.7,7.6,7.5,5.3,3.4
Cash_from_Operations,133.6,73.0,43.5,57.7,65.1,46.3,46.7,43.1,35.2,37.2
Diluted_EPS,3.562,4.784,2.295,2.957,2.386,2.126,2.103,1.901,2.0,1.746
Goodwill_Intangibles,73.4,74.4,73.8,74.9,76.2,74.7,75.6,66.9,68.6,50.0
LT_Debt,74.2,73.9,73.6,39.3,39.2,39.1,39.1,39.0,0.0,0.0
Net_Income,55.1,76.2,36.9,47.4,38.1,32.1,30.5,26.9,27.9,24.1
Revenue,196.1,167.2,161.3,168.8,152.7,130.1,115.2,105.5,101.1,98.9
Shares_Diluted,15.471,15.937,16.063,16.031,15.956,15.085,14.491,14.135,13.946,13.784
Total_Assets,5797.3,5520.8,4912.3,4384.2,4311.7,4105.2,3710.3,3381.0,3089.5,2928.6
Total_Liabilities,5391.7,5015.6,4443.9,3945.2,3915.4,3724.0,3390.3,3087.2,2810.0,2673.8
