AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1180.4,1057.0,954.1,934.5,856.2,831.8,802.1
Cash_from_Operations,3018.4,2369.0,2079.8,2454.9,1799.3,1829.7,1408.3
Diluted_EPS,14.164,3.283,29.019,2.893,2.42,2.286,2.179
Goodwill_Intangibles,7177.1,7130.5,7545.9,7505.5,10610.9,4971.8,10116.5
LT_Debt,7298.4,5631.1,5766.6,6462.4,4209.9,4061.3,3534.9
Net_Income,1013.6,1174.8,2076.7,1035.2,865.9,817.8,779.7
Revenue,24813.6,23003.4,21543.5,19563.9,15258.5,12901.1,12639.0
Shares_Diluted,357.8226,71.5645,357.8226,71.5645,357.8226,357.8226,357.8226
Total_Assets,31220.4,28225.4,28820.9,26719.2,20045.0,18421.2,17589.6
Total_Liabilities,18880.5,15637.5,16564.1,16342.2,11155.8,10073.1,6691.4
