AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,148.7,167.9,133.9,166.7,86.7,52.7,42.1,60.6
Cash_from_Operations,531.3,938.5,1111.2,1012.1,852.5,591.1,496.4,562.2
Diluted_EPS,5.81,5.198,4.807,4.31,3.925,3.183,3.071,3.1
Goodwill_Intangibles,253.5,277.0,328.4,356.4,378.0,362.6,265.6,269.1
LT_Debt,1774.5,1275.6,1673.9,1671.8,811.3,426.8,432.4,43.1
Net_Income,1005.4,881.3,796.1,699.6,604.8,463.2,431.5,421.4
Revenue,3852.7,3579.5,3031.6,2451.6,1980.9,1664.1,1483.0,1356.0
Shares_Diluted,173.053,169.551,165.612,162.34,154.095,145.51,140.497,140.497
Total_Assets,142502.0,116264.0,99205.2,87780.5,73277.8,58981.3,48350.2,42112.8
Total_Liabilities,130752.0,106413.0,90527.4,79962.2,66369.1,53275.6,43571.7,37952.7
