AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,,0.0,0.0,0.0,0.0,0.4,191.1,0.0
Cash_from_Operations,-2.4,-5.7,-2.2,-14.8,939.9,-34.1,-35.1,-9.5,-8.4
Diluted_EPS,-0.271,-0.941,-4.351,-9.028,225.279,-69.488,-77.57,-175.453,-34.306
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-1.9,-6.4,-4.2,-8.7,917.1,-33.3,-37.0,-61.8,-15.7
Revenue,,,0.0,0.0,1250.0,,,0.0,0.0
Shares_Diluted,6.9834,6.8569,0.9701,0.9661,4.0709,0.4797,0.477,0.3519,0.4575
Total_Assets,71.4,79.7,78.2,83.3,111.0,163.1,182.9,225.3,3.6
Total_Liabilities,0.6,1.1,0.6,1.1,21.3,7.3,6.2,2.9,30.0
