AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,9.1,11.2,4.8,20.9,8.6,3.4,1.7,5.3
Cash_from_Operations,14.6,11.6,11.3,11.2,1.9,4.2,11.6,2.1
Diluted_EPS,0.049,0.103,0.151,0.232,-0.131,1.101,3.346,-0.311
Goodwill_Intangibles,15.8,17.0,15.6,12.8,12.8,12.8,25.9,25.9
LT_Debt,112.7,114.7,114.5,114.4,114.3,102.4,127.5,128.7
Net_Income,1.1,2.2,3.1,4.6,-2.5,21.4,64.9,-6.0
Revenue,38.6,35.5,35.5,31.2,29.8,32.0,32.6,33.4
Shares_Diluted,22.5741,21.5316,20.5074,19.6448,19.1465,19.4065,19.4065,19.4065
Total_Assets,283.4,266.1,262.5,238.6,238.8,235.7,307.6,297.9
Total_Liabilities,251.3,241.4,234.6,223.7,223.8,215.7,279.9,330.8
