AAII_YR_DATA,12/31/2022,12/25/2021,12/31/2020,12/26/2020,12/31/2019,12/28/2019,12/31/2018,12/29/2018
Capital_Expenditures,69.6,51.6,0.0,45.3,0.0,57.8,0.0,71.6
Cash_from_Operations,119.0,-110.3,-1.3,92.1,0.0,52.4,0.0,7.5
Diluted_EPS,-0.085,-0.285,-0.462,-0.131,0.0,-0.456,0.0,-0.313
Goodwill_Intangibles,1558.3,1620.1,0.0,1642.2,0.0,1698.3,0.0,800.6
LT_Debt,884.6,906.5,0.0,1535.5,0.0,1584.3,0.0,0.0
Net_Income,-16.4,-38.3,-28.9,-24.5,0.0,-85.5,0.0,-58.7
Revenue,1486.3,1426.0,,1368.3,0.0,1214.4,0.0,974.2
Shares_Diluted,194.249,134.699,62.5,187.5695,62.5,187.5695,62.5,187.5695
Total_Assets,2470.7,2562.9,501.2,2468.6,0.0,2438.0,0.0,2428.2
Total_Liabilities,1314.0,1412.8,73.3,2104.0,0.0,2064.0,0.0,1978.2
