AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,906.0,839.0,828.0,1031.0,1095.0,1073.0,1094.0,947.0
Cash_from_Operations,6208.0,6897.0,6434.0,5966.0,5498.0,5519.0,5024.0,4335.0
Diluted_EPS,6.72,8.412,9.507,2.001,6.207,6.041,5.331,4.922
Goodwill_Intangibles,19618.0,19297.0,19685.0,27269.0,22341.0,20472.0,14996.0,15560.0
LT_Debt,16342.0,11110.0,9756.0,12573.0,12182.0,5554.0,6046.0,6801.0
Net_Income,4779.0,6143.0,7159.0,1545.0,4812.0,4768.0,4239.0,3924.0
Revenue,32637.0,36709.0,41802.0,40534.0,39302.0,38581.0,40306.0,39055.0
Shares_Diluted,711.2,730.3,753.0,772.1,775.3,789.3,795.2,797.3
Total_Assets,64586.0,58679.0,57773.0,59470.0,54146.0,49316.0,45451.0,45435.0
Total_Liabilities,47037.0,40185.0,39593.0,42968.0,34777.0,31033.0,27794.0,27968.0
