AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.5,1.4,0.6,0.5,0.2,0.1,1.0,2.6
Cash_from_Operations,71.1,-19.7,-19.6,-30.3,-15.4,-13.9,-3.9,-9.8
Diluted_EPS,-19.92,-1.414,-1.603,-16.798,-61.259,-53.711,-57.527,-0.811
Goodwill_Intangibles,1.0,135.4,130.8,70.1,55.7,59.1,63.3,67.6
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-200.9,-13.6,-12.6,-9.6,-32.4,-29.9,-29.7,-41.8
Revenue,169.1,307.7,254.7,199.4,160.0,125.3,95.4,65.2
Shares_Diluted,10.084,9.6374,7.8737,0.5717,0.529,0.5573,0.5156,51.5564
Total_Assets,221.8,507.7,470.1,321.5,207.3,188.8,169.6,146.1
Total_Liabilities,146.9,223.4,198.0,219.4,101.9,68.8,129.6,118.8
