AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,367.0,315.2,386.0,270.0,355.5,251.6,444.6
Cash_from_Operations,435.8,455.1,239.6,370.2,390.0,48.0,391.4
Diluted_EPS,0.112,-1.105,-0.076,1.345,0.156,-2.429,-0.688
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,636.3,563.3,499.6,490.9,608.2,787.4,804.5
Net_Income,53.4,-517.3,-35.4,628.9,65.9,-946.9,-259.3
Revenue,1556.7,1335.6,1392.9,1372.7,1237.5,1149.6,1263.6
Shares_Diluted,478.0,468.0,466.5,467.5,423.9,389.9,376.8
Total_Assets,5208.2,4841.9,4965.9,4973.3,4263.2,4076.3,5294.1
Total_Liabilities,2126.4,1900.6,1540.0,1473.5,1477.9,1699.5,2011.3
