AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.6,0.6,2.7,0.5,0.1,0.2,0.0
Cash_from_Operations,-43.6,-34.2,-21.5,-11.3,-7.6,-8.9,-6.1
Diluted_EPS,-0.725,-0.691,-0.628,-0.39,-0.353,-0.383,-0.316
Goodwill_Intangibles,,,,,0.0,0.3,0.3
LT_Debt,8.8,12.0,11.8,8.1,7.6,4.7,3.9
Net_Income,-43.7,-34.3,-27.5,-15.1,-11.2,-11.0,-8.2
Revenue,0.4,0.7,0.6,0.3,0.3,0.2,0.0
Shares_Diluted,60.3053,49.6536,43.767,38.6568,31.6027,28.7104,26.0593
Total_Assets,57.7,28.1,28.7,21.4,18.9,7.5,15.6
Total_Liabilities,19.1,20.0,23.3,13.4,10.2,7.4,5.8
