AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,2.7
Cash_from_Operations,363.8,313.1,257.5,223.5,141.7,61.0,10.1,-130.7,-129.6
Diluted_EPS,2.869,2.018,1.387,3.483,1.119,0.483,-0.163,-1.503,-1.6669999999999998
Goodwill_Intangibles,111.4,125.3,139.1,152.9,166.7,180.5,194.4,208.2,124.3
LT_Debt,394.7,385.5,377.1,382.9,574.4,708.3,733.1,725.6,287.5
Net_Income,265.9,224.4,157.3,395.1,134.1,59.5,-18.8,-168.5,-170.7
Revenue,391.9,336.8,261.0,261.0,217.2,133.6,53.9,8.4,4.5
Shares_Diluted,94.31,113.554,113.409,113.408,119.866,123.233,115.372,112.059,102.425
Total_Assets,926.4,999.6,724.8,548.2,367.3,379.0,408.9,521.7,681.3
Total_Liabilities,511.7,459.7,411.3,394.6,610.2,732.0,751.6,745.0,382.1
