AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,1.6,0.4,1.2,1.0,0.1,,,
Cash_from_Operations,-40.1,-22.2,-26.5,-19.0,-3.5,0.0,0.0,-0.6
Diluted_EPS,-0.759,-0.534,-0.842,-0.823,-0.958,0.685,-0.608,-1.866
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.0,1.2,0.9,1.1,5.3,0.0,0.0,0.0
Net_Income,-43.3,-26.6,-28.5,-19.5,-7.3,0.4,-0.3,-0.9
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,57.032,49.844,33.8404,23.6584,7.5844,0.6567,0.5025,0.5023
Total_Assets,98.9,117.3,128.5,103.7,106.3,0.0,0.0,0.1
Total_Liabilities,60.6,62.3,62.0,64.8,70.7,1.2,1.7,1.1
