AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,44.1,44.8,41.5,37.4,30.8,38.4,24.3,28.7
Cash_from_Operations,58.0,101.4,31.4,27.3,19.3,48.7,31.3,-8.8
Diluted_EPS,0.6,1.269,-0.004,-0.631,-0.115,-6.483,-1.3,20.951999999999998
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.1,1.5,1.2,0.3,6.6,9.6,35.5,2.0
Net_Income,44.1,93.2,-0.2,-20.6,-3.6,-106.7,-14.5,167.6
Revenue,195.2,206.5,125.3,122.3,135.6,155.4,137.3,149.0
Shares_Diluted,73.4248,73.4212,52.7647,32.6006,31.6935,16.4601,11.1126,7.9998
Total_Assets,348.0,321.9,258.9,230.3,236.7,248.5,236.4,250.1
Total_Liabilities,75.5,77.4,93.2,96.4,84.1,101.1,116.8,120.0
