AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,5.9,7.0,3.2,3.5,1.1,0.4,1.6,4.1,0.7,0.2
Cash_from_Operations,11.1,15.2,11.2,7.5,5.5,-0.1,-10.8,-6.8,-0.4,0.4
Diluted_EPS,0.08,0.44,0.903,0.23,0.01,-0.259,-1.195,-0.876,-0.556,0.017
Goodwill_Intangibles,21.4,10.5,7.5,7.4,4.9,6.4,5.1,5.0,0.8,
LT_Debt,2.1,2.1,2.1,0.0,0.0,1.0,0.0,0.1,0.0,0.0
Net_Income,1.2,6.6,13.2,3.3,0.1,-3.4,-15.2,-8.8,-3.0,0.2
Revenue,101.9,80.9,58.7,48.5,36.7,24.9,20.5,13.8,7.1,6.0
Shares_Diluted,14.8681,14.9356,14.5829,14.4676,14.0317,13.2451,12.6966,10.042,5.4519,9.1688
Total_Assets,91.9,85.5,65.9,43.7,23.4,18.4,17.1,33.4,28.5,9.8
Total_Liabilities,59.6,55.9,44.8,38.0,22.7,17.3,10.1,12.7,12.8,11.0
