AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,259.8,231.2,74.5,34.1,69.3,227.6,281.0,515.8,425.2,312.0
Cash_from_Operations,771.4,240.5,92.2,85.4,52.4,391.9,162.3,290.2,410.4,257.0
Diluted_EPS,5.802,17.266,9.414,-0.248,8.067,4.401,-7.668,1.361,5.162000000000001,-6.94
Goodwill_Intangibles,220.8,449.3,1.5,1.2,1.3,1.6,376.8,147.2,144.7,161.6
LT_Debt,1123.8,1172.0,871.8,576.7,563.2,588.5,2829.6,2364.9,2215.9,1926.6
Net_Income,312.7,930.3,507.1,-13.4,434.2,236.6,-411.9,73.0,458.2,-633.0
Revenue,574.0,487.8,386.5,373.5,364.0,365.7,324.3,325.9,1372.2,873.4
Shares_Diluted,53.885,53.879,53.87,53.856,53.826,53.761,53.72,53.649,88.7524,88.7524
Total_Assets,3772.1,4039.0,2482.3,1508.4,1455.1,2525.9,5137.8,4482.8,4319.7,5984.7
Total_Liabilities,2173.6,2245.0,1415.5,885.0,806.1,1542.7,4456.6,3421.6,3089.2,5271.0
