AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1621.0,1281.0,1707.0,2270.0,2924.0,3188.0,2882.0,3896.0,3617.0,3369.0
Cash_from_Operations,4967.0,5708.0,4550.0,4748.0,5043.0,4601.0,4758.0,5313.0,4467.0,4122.0
Diluted_EPS,1.123,0.781,0.047,0.962,0.665,0.012,0.248,0.104,0.902,1.152
Goodwill_Intangibles,21774.0,21592.0,22304.0,24127.0,24845.0,25261.0,25470.0,27341.0,26956.0,26942.0
LT_Debt,28403.0,30674.0,32131.0,31915.0,33936.0,35015.0,37354.0,42406.0,40097.0,33887.0
Net_Income,2535.0,1770.0,106.0,2178.0,1473.0,27.0,552.0,227.0,1026.0,1193.0
Revenue,19200.0,16610.0,11700.0,13209.0,14144.0,13705.0,13058.0,14403.0,16226.0,14070.0
Shares_Diluted,2258.0,2266.0,2263.0,2264.0,2216.0,2230.0,2230.0,2193.0,1137.0,1036.0
Total_Assets,70078.0,70416.0,71973.0,74157.0,78866.0,79055.0,80305.0,84104.0,83049.0,75185.0
Total_Liabilities,39336.0,39593.0,40537.0,40415.0,45188.0,45419.0,45874.0,48985.0,48973.0,62092.0
