AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,711.0,623.3,671.6,696.0,634.5,641.3,1403.8,549.8,1065.0,1114.1
Cash_from_Operations,794.8,1583.4,1190.1,1291.1,1429.9,1600.7,1676.9,1217.9,1372.4,1950.4
Diluted_EPS,0.975,0.518,0.618,0.491,1.325,1.915,1.178,-0.37,0.312,0.861
Goodwill_Intangibles,3540.9,3325.3,3285.1,2908.2,3062.1,3200.7,6229.9,3269.4,7508.3,7942.5
LT_Debt,2950.5,3248.8,2841.9,2102.5,2295.5,2618.1,3693.3,4715.4,5623.1,6729.0
Net_Income,801.5,431.7,519.4,430.6,1185.5,1747.2,963.2,-337.5,286.3,812.9
Revenue,14364.0,13151.7,13353.7,14016.2,13938.4,13456.1,13385.4,15664.1,19410.8,21396.0
Shares_Diluted,821.755,833.599,840.689,877.038,894.506,912.579,912.523,912.537,918.517,943.727
Total_Assets,18355.1,17847.4,17756.6,17421.0,16632.2,17317.7,17492.8,17424.1,26218.3,27487.4
Total_Liabilities,11279.4,11391.4,11702.0,10875.5,10018.1,10402.2,12394.6,12687.8,16475.1,17274.5
