AAII_YR_DATA,06/30/2019,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003
Capital_Expenditures,,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-14.1,-0.2,-3.0,-2.6,-1.8,-2.8,-2.0
Diluted_EPS,-0.798,-0.012,-0.012,-0.041,-0.105,-0.043,-0.057
Goodwill_Intangibles,10.0,1.5,1.7,2.0,2.1,2.3,2.5
LT_Debt,0.0,0.0,3.6,2.6,2.4,3.0,2.7
Net_Income,-389.1,-4.4,-2.4,-4.0,-7.1,-2.5,-2.8
Revenue,0.6,3.7,0.2,0.2,0.4,0.5,0.6
Shares_Diluted,487.6893,366.8193,200.0224,98.5122,67.6129,57.7608,48.2583
Total_Assets,1019.4,2.6,2.1,2.7,4.0,2.5,3.2
Total_Liabilities,1408.1,3.1,1.8,5.8,7.8,3.9,4.5
