AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2942.6,2034.8,2198.0,2487.9,2804.2,2567.6,2779.4
Cash_from_Operations,3370.7,3609.4,3490.0,4293.7,3807.0,1724.8,3700.0
Diluted_EPS,1.136,1.264,0.875,1.306,1.016,-1.942,-0.351
Goodwill_Intangibles,2550.6,3066.4,2369.4,2720.5,2339.8,3189.6,3444.7
LT_Debt,5501.8,4751.8,4599.2,5670.7,6303.4,8905.1,7660.7
Net_Income,557.3,619.6,429.1,640.0,497.7,-949.5,-170.9
Revenue,21907.9,21114.1,21048.5,20469.3,20053.1,20080.5,21652.1
Shares_Diluted,490.4832,490.099,490.1942,489.9532,489.7088,488.8876,487.4748
Total_Assets,30655.2,28969.9,26757.8,27529.0,26407.1,30419.3,31365.1
Total_Liabilities,18355.0,17087.5,16120.9,17231.2,16646.5,21114.9,20810.1
