AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,2.959,3.777,1.621,1.977,1.658,0.913,0.706
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,19.9,21.8,23.8,16.0,16.0,10.0,12.9
Net_Income,18.4,23.4,10.2,12.4,10.2,5.5,4.2
Revenue,59.1,47.5,44.2,41.1,35.6,29.0,23.1
Shares_Diluted,6.2321,6.2539,6.2729,6.2491,6.143,5.9943,5.9943
Total_Assets,1600.1,1334.9,1110.0,906.7,849.1,746.9,619.1
Total_Liabilities,1482.8,1213.9,1006.1,815.7,772.7,680.7,560.9
