AAII_YR_DATA,04/29/2022,04/30/2021,04/24/2020,04/26/2019,04/27/2018,04/28/2017,04/29/2016,04/24/2015,04/25/2014
Capital_Expenditures,1368.0,1355.0,1213.0,1134.0,1068.0,1254.0,1046.0,571.0,396.0
Cash_from_Operations,7347.0,6240.0,7234.0,7007.0,4684.0,6880.0,5218.0,4902.0,4959.0
Diluted_EPS,3.729,2.663,3.545,3.411,2.269,2.895,2.481,2.412,3.024
Goodwill_Intangibles,56097.0,59701.0,58904.0,60519.0,61266.0,61922.0,68399.0,68631.0,25758.0
LT_Debt,20372.0,26378.0,22021.0,24486.0,23699.0,25921.0,30109.0,33752.0,10315.0
Net_Income,5039.0,3606.0,4789.0,4631.0,3104.0,4028.0,3538.0,2675.0,3065.0
Revenue,31686.0,30117.0,28913.0,30557.0,29953.0,29710.0,28833.0,20261.0,17005.0
Shares_Diluted,1351.4,1354.0,1351.1,1357.5,1368.2,1391.4,1425.9,1109.0,1109.0
Total_Assets,90981.0,93083.0,90689.0,89694.0,91393.0,99857.0,99644.0,106685.0,37943.0
Total_Liabilities,38430.0,41655.0,39952.0,39603.0,40673.0,49649.0,47581.0,53455.0,18500.0
