AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,10.0,6.9,7.2,4.7,3.8,,
Cash_from_Operations,20.6,37.6,1.9,17.0,-2.8,7.6,4.3
Diluted_EPS,-1.624,-1.561,-4.286,-2.123,-1.034,,
Goodwill_Intangibles,466.0,472.9,429.5,229.6,159.1,,
LT_Debt,159.0,167.6,170.3,145.0,71.0,0.0,0.0
Net_Income,-48.2,-41.7,-106.9,-43.2,-21.0,,
Revenue,544.4,546.4,328.2,233.9,188.8,137.6,114.8
Shares_Diluted,29.688,26.724,24.9325,20.332,20.332,20.332,20.332
Total_Assets,791.9,833.1,602.7,331.8,234.4,178.6,133.4
Total_Liabilities,325.8,363.7,312.7,229.3,118.3,127.9,85.5
