AAII_YR_DATA,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013
Capital_Expenditures,13.2,6.3,0.7,0.2,0.3,1.9,0.2,0.4,0.5,0.2
Cash_from_Operations,2.2,3.8,-0.4,3.9,1.7,1.5,-2.1,3.3,1.5,2.3
Diluted_EPS,1.081,1.186,0.571,1.44,0.559,0.545,0.091,0.579,0.398,0.561
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,14.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,2.8,3.1,1.5,3.7,1.4,1.4,0.2,1.5,1.0,1.4
Revenue,27.8,27.3,22.3,25.5,21.0,19.7,17.6,20.0,19.1,19.7
Shares_Diluted,2.5783,2.5783,2.5783,2.5783,2.5783,2.5783,2.5783,2.5783,2.5783,2.5783
Total_Assets,53.8,40.8,31.7,31.1,27.6,25.3,25.0,27.0,23.0,23.1
Total_Liabilities,19.0,8.5,2.2,2.9,2.9,1.7,2.5,4.6,1.8,2.7
