AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.5,2.7,3.7,10.2,6.8,4.0,2.3,3.5,12.4,11.0
Cash_from_Operations,3.2,93.8,53.6,60.9,10.6,78.3,110.6,149.7,14.6,29.9
Diluted_EPS,-129.829,-53.441,-0.777,3.326,1.972,1.576,7.894,4.59,0.443,7.374
Goodwill_Intangibles,1840.0,2850.2,1054.3,,0.0,2.5,8.5,15.9,13.5,10.3
LT_Debt,2378.6,2155.2,486.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-1469.8,-535.5,-7.5,34.4,22.5,18.2,90.9,105.9,5.0,83.3
Revenue,499.3,510.8,480.7,486.3,497.6,503.8,512.2,529.9,579.8,575.9
Shares_Diluted,11.321,10.02,9.684,10.328,11.412,11.547,11.516,23.078,11.356,11.300999999999998
Total_Assets,2410.3,3557.1,1465.6,916.6,855.8,933.2,768.3,656.9,558.8,585.5
Total_Liabilities,2793.4,2578.2,912.6,408.0,326.0,327.5,216.1,201.6,234.3,275.2
